2025-02-10 12:40:56.583: DGCSG(
  (ae): AE(
    (enc_1): Linear(in_features=2000, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=2000, bias=True)
    (z_layer): Linear(in_features=2000, out_features=10, bias=True)
    (dec_1): Linear(in_features=10, out_features=2000, bias=True)
    (dec_2): Linear(in_features=2000, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2000, bias=True)
    (act): LeakyReLU(negative_slope=0.2, inplace=True)
  )
  (gate_1): GATLayer(
    (leakyrelu): LeakyReLU(negative_slope=0.3)
  )
  (gate_2): GATLayer(
    (leakyrelu): LeakyReLU(negative_slope=0.3)
  )
  (gate_3): GATLayer(
    (leakyrelu): LeakyReLU(negative_slope=0.3)
  )
  (s): Sigmoid()
)
2025-02-10 12:40:56.583: Namespace(name='Pollen', cuda=False, n_z=10, lr=0.0001, n_clusters=11, n_input=2000, alpha=10, beta=3e-05)
2025-02-10 12:40:56.583: metrics:	 nmi	 ari
2025-02-10 12:40:59.429: epoch183 Q:	0.8687	0.7825
2025-02-10 12:40:59.438: epoch184 Q:	0.8687	0.7825
2025-02-10 12:40:59.445: epoch185 Q:	0.8687	0.7825
2025-02-10 12:40:59.455: epoch186 Q:	0.8687	0.7825
2025-02-10 12:40:59.462: epoch187 Q:	0.8687	0.7825
2025-02-10 12:40:59.472: epoch188 Q:	0.8687	0.7825
2025-02-10 12:40:59.480: epoch189 Q:	0.8676	0.7812
2025-02-10 12:40:59.492: epoch190 Q:	0.8676	0.7812
2025-02-10 12:40:59.500: epoch191 Q:	0.8676	0.7812
2025-02-10 12:40:59.509: epoch192 Q:	0.8735	0.7906
2025-02-10 12:40:59.517: epoch193 Q:	0.8676	0.7812
2025-02-10 12:40:59.534: epoch194 Q:	0.8735	0.7906
2025-02-10 12:40:59.548: epoch195 Q:	0.8761	0.7926
2025-02-10 12:40:59.558: epoch196 Q:	0.8735	0.7906
2025-02-10 12:40:59.569: epoch197 Q:	0.8761	0.7926
2025-02-10 12:40:59.581: epoch198 Q:	0.8761	0.7926
2025-02-10 12:40:59.591: epoch199 Q:	0.8761	0.7926
2025-02-10 12:40:59.604: epoch200 Q:	0.8761	0.7926
2025-02-10 12:40:59.616: epoch201 Q:	0.8761	0.7926
2025-02-10 12:40:59.631: epoch202 Q:	0.8751	0.7915
2025-02-10 12:40:59.646: epoch203 Q:	0.8751	0.7915
2025-02-10 12:40:59.659: epoch204 Q:	0.8751	0.7915
2025-02-10 12:40:59.674: epoch205 Q:	0.8751	0.7915
2025-02-10 12:40:59.688: epoch206 Q:	0.8751	0.7915
2025-02-10 12:40:59.702: epoch207 Q:	0.8751	0.7915
2025-02-10 12:40:59.715: epoch208 Q:	0.8815	0.7943
2025-02-10 12:40:59.724: epoch209 Q:	0.8815	0.7943
2025-02-10 12:40:59.733: epoch210 Q:	0.8807	0.7935
2025-02-10 12:40:59.741: epoch211 Q:	0.8807	0.7935
2025-02-10 12:40:59.749: epoch212 Q:	0.8807	0.7935
2025-02-10 12:40:59.757: epoch213 Q:	0.8807	0.7935
2025-02-10 12:40:59.765: epoch214 Q:	0.8807	0.7935
2025-02-10 12:40:59.775: epoch215 Q:	0.8807	0.7935
2025-02-10 12:40:59.784: epoch216 Q:	0.8807	0.7935
2025-02-10 12:40:59.793: epoch217 Q:	0.8807	0.7935
2025-02-10 12:40:59.801: epoch218 Q:	0.8807	0.7935
2025-02-10 12:40:59.810: epoch219 Q:	0.8807	0.7935
2025-02-10 12:40:59.817: epoch220 Q:	0.8891	0.8032
2025-02-10 12:40:59.826: epoch221 Q:	0.8801	0.7930
2025-02-10 12:40:59.835: epoch222 Q:	0.8885	0.8027
2025-02-10 12:40:59.844: epoch223 Q:	0.8796	0.7928
2025-02-10 12:40:59.852: epoch224 Q:	0.8880	0.8024
2025-02-10 12:40:59.860: epoch225 Q:	0.8880	0.8024
2025-02-10 12:40:59.869: epoch226 Q:	0.8880	0.8024
2025-02-10 12:40:59.880: epoch227 Q:	0.8877	0.8024
2025-02-10 12:40:59.888: epoch228 Q:	0.8880	0.8024
2025-02-10 12:40:59.897: epoch229 Q:	0.8877	0.8024
2025-02-10 12:40:59.907: epoch230 Q:	0.8877	0.8024
2025-02-10 12:40:59.916: epoch231 Q:	0.8877	0.8024
2025-02-10 12:40:59.925: epoch232 Q:	0.8877	0.8024
2025-02-10 12:40:59.937: epoch233 Q:	0.8877	0.8024
2025-02-10 12:40:59.945: epoch234 Q:	0.8874	0.8034
2025-02-10 12:40:59.954: epoch235 Q:	0.8874	0.8034
2025-02-10 12:40:59.962: epoch236 Q:	0.8876	0.8056
2025-02-10 12:40:59.971: epoch237 Q:	0.8876	0.8056
2025-02-10 12:40:59.980: epoch238 Q:	0.8876	0.8056
2025-02-10 12:40:59.988: epoch239 Q:	0.8876	0.8056
2025-02-10 12:40:59.997: epoch240 Q:	0.8876	0.8056
2025-02-10 12:41:00.005: epoch241 Q:	0.8879	0.8072
2025-02-10 12:41:00.013: epoch242 Q:	0.8876	0.8056
2025-02-10 12:41:00.021: epoch243 Q:	0.8879	0.8072
2025-02-10 12:41:00.032: epoch244 Q:	0.8879	0.8072
2025-02-10 12:41:00.040: epoch245 Q:	0.8879	0.8072
2025-02-10 12:41:00.049: epoch246 Q:	0.8879	0.8072
2025-02-10 12:41:00.057: epoch247 Q:	0.8879	0.8072
2025-02-10 12:41:00.065: epoch248 Q:	0.8879	0.8072
2025-02-10 12:41:00.073: epoch249 Q:	0.8879	0.8072
2025-02-10 12:41:00.081: epoch250 Q:	0.8882	0.8091
2025-02-10 12:41:00.090: epoch251 Q:	0.8882	0.8091
2025-02-10 12:41:00.100: epoch252 Q:	0.8882	0.8091
2025-02-10 12:41:00.108: epoch253 Q:	0.8882	0.8091
2025-02-10 12:41:00.115: epoch254 Q:	0.8926	0.8128
2025-02-10 12:41:00.123: epoch255 Q:	0.8926	0.8128
2025-02-10 12:41:00.131: epoch256 Q:	0.8926	0.8128
2025-02-10 12:41:00.139: epoch257 Q:	0.8941	0.8189
2025-02-10 12:41:00.147: epoch258 Q:	0.8926	0.8128
2025-02-10 12:41:00.155: epoch259 Q:	0.8983	0.8298
2025-02-10 12:41:00.163: epoch260 Q:	0.8941	0.8189
2025-02-10 12:41:00.172: epoch261 Q:	0.8995	0.8344
2025-02-10 12:41:00.180: epoch262 Q:	0.8983	0.8298
2025-02-10 12:41:00.190: epoch263 Q:	0.8995	0.8344
2025-02-10 12:41:00.199: epoch264 Q:	0.8995	0.8344
2025-02-10 12:41:00.208: epoch265 Q:	0.8995	0.8344
2025-02-10 12:41:00.216: epoch266 Q:	0.9009	0.8392
2025-02-10 12:41:00.227: epoch267 Q:	0.9009	0.8392
2025-02-10 12:41:00.235: epoch268 Q:	0.9025	0.8444
2025-02-10 12:41:00.242: epoch269 Q:	0.9025	0.8444
2025-02-10 12:41:00.252: epoch270 Q:	0.9025	0.8444
2025-02-10 12:41:00.260: epoch271 Q:	0.9025	0.8444
2025-02-10 12:41:00.268: epoch272 Q:	0.9025	0.8444
2025-02-10 12:41:00.276: epoch273 Q:	0.9025	0.8444
2025-02-10 12:41:00.285: epoch274 Q:	0.9025	0.8444
2025-02-10 12:41:00.294: epoch275 Q:	0.9025	0.8444
2025-02-10 12:41:00.301: epoch276 Q:	0.9025	0.8444
2025-02-10 12:41:00.310: epoch277 Q:	0.8979	0.8414
2025-02-10 12:41:00.320: epoch278 Q:	0.8996	0.8469
2025-02-10 12:41:00.328: epoch279 Q:	0.8996	0.8469
2025-02-10 12:41:00.336: epoch280 Q:	0.9014	0.8528
2025-02-10 12:41:00.345: epoch281 Q:	0.9033	0.8590
2025-02-10 12:41:00.354: epoch282 Q:	0.9033	0.8590
2025-02-10 12:41:00.362: epoch283 Q:	0.9055	0.8655
2025-02-10 12:41:00.371: epoch284 Q:	0.9055	0.8655
2025-02-10 12:41:00.380: epoch285 Q:	0.9055	0.8655
2025-02-10 12:41:00.388: epoch286 Q:	0.9055	0.8655
2025-02-10 12:41:00.396: epoch287 Q:	0.9078	0.8724
2025-02-10 12:41:00.404: epoch288 Q:	0.9078	0.8724
2025-02-10 12:41:00.414: epoch289 Q:	0.9103	0.8795
2025-02-10 12:41:00.423: epoch290 Q:	0.9130	0.8870
2025-02-10 12:41:00.431: epoch291 Q:	0.9130	0.8870
2025-02-10 12:41:00.438: epoch292 Q:	0.9130	0.8870
2025-02-10 12:41:00.446: epoch293 Q:	0.9130	0.8870
2025-02-10 12:41:00.454: epoch294 Q:	0.9130	0.8870
2025-02-10 12:41:00.462: epoch295 Q:	0.9160	0.8948
2025-02-10 12:41:00.469: epoch296 Q:	0.9160	0.8948
2025-02-10 12:41:00.477: epoch297 Q:	0.9160	0.8948
2025-02-10 12:41:00.485: epoch298 Q:	0.9160	0.8948
2025-02-10 12:41:00.495: epoch299 Q:	0.9193	0.9030
2025-02-10 12:41:00.525: epoch300 Q:	0.9193	0.9030
2025-02-10 12:41:00.554: epoch301 Q:	0.9229	0.9114
2025-02-10 12:41:00.596: epoch302 Q:	0.9229	0.9114
2025-02-10 12:41:00.625: epoch303 Q:	0.9229	0.9114
2025-02-10 12:41:00.654: epoch304 Q:	0.9229	0.9114
2025-02-10 12:41:00.683: epoch305 Q:	0.9229	0.9114
2025-02-10 12:41:00.712: epoch306 Q:	0.9229	0.9114
2025-02-10 12:41:00.742: epoch307 Q:	0.9229	0.9114
2025-02-10 12:41:00.770: epoch308 Q:	0.9229	0.9114
2025-02-10 12:41:00.799: epoch309 Q:	0.9229	0.9114
2025-02-10 12:41:00.829: epoch310 Q:	0.9229	0.9114
2025-02-10 12:41:00.858: epoch311 Q:	0.9270	0.9201
2025-02-10 12:41:00.886: epoch312 Q:	0.9270	0.9201
2025-02-10 12:41:00.915: epoch313 Q:	0.9270	0.9201
2025-02-10 12:41:00.945: epoch314 Q:	0.9270	0.9201
2025-02-10 12:41:00.973: epoch315 Q:	0.9270	0.9201
2025-02-10 12:41:01.003: epoch316 Q:	0.9270	0.9201
2025-02-10 12:41:01.031: epoch317 Q:	0.9270	0.9201
2025-02-10 12:41:01.060: epoch318 Q:	0.9270	0.9201
2025-02-10 12:41:01.089: epoch319 Q:	0.9270	0.9201
2025-02-10 12:41:01.135: epoch320 Q:	0.9270	0.9201
2025-02-10 12:41:01.166: epoch321 Q:	0.9270	0.9201
2025-02-10 12:41:01.199: epoch322 Q:	0.9270	0.9201
2025-02-10 12:41:01.235: epoch323 Q:	0.9270	0.9201
2025-02-10 12:41:01.266: epoch324 Q:	0.9270	0.9201
2025-02-10 12:41:01.294: epoch325 Q:	0.9270	0.9201
2025-02-10 12:41:01.323: epoch326 Q:	0.9270	0.9201
2025-02-10 12:41:01.353: epoch327 Q:	0.9270	0.9201
2025-02-10 12:41:01.383: epoch328 Q:	0.9270	0.9201
2025-02-10 12:41:01.413: epoch329 Q:	0.9270	0.9201
2025-02-10 12:41:01.442: epoch330 Q:	0.9270	0.9201
2025-02-10 12:41:01.472: epoch331 Q:	0.9270	0.9201
2025-02-10 12:41:01.501: epoch332 Q:	0.9270	0.9201
2025-02-10 12:41:01.530: epoch333 Q:	0.9270	0.9201
2025-02-10 12:41:01.558: epoch334 Q:	0.9270	0.9201
2025-02-10 12:41:01.587: epoch335 Q:	0.9270	0.9201
2025-02-10 12:41:01.616: epoch336 Q:	0.9270	0.9201
2025-02-10 12:41:01.644: epoch337 Q:	0.9270	0.9201
2025-02-10 12:41:01.673: epoch338 Q:	0.9270	0.9201
2025-02-10 12:41:01.703: epoch339 Q:	0.9270	0.9201
2025-02-10 12:41:01.733: epoch340 Q:	0.9373	0.9384
2025-02-10 12:41:01.762: epoch341 Q:	0.9270	0.9201
2025-02-10 12:41:01.772: epoch342 Q:	0.9373	0.9384
2025-02-10 12:41:01.802: epoch343 Q:	0.9270	0.9201
2025-02-10 12:41:01.811: epoch344 Q:	0.9454	0.9479
2025-02-10 12:41:01.840: epoch345 Q:	0.9373	0.9384
2025-02-10 12:41:01.848: epoch346 Q:	0.9454	0.9479
2025-02-10 12:41:01.877: epoch347 Q:	0.9373	0.9384
2025-02-10 12:41:01.885: epoch348 Q:	0.9454	0.9479
2025-02-10 12:41:01.914: epoch349 Q:	0.9454	0.9479
2025-02-10 12:41:01.944: epoch350 Q:	0.9454	0.9479
